Level,Salary
1,11780
2,6900
3,12980
4,14351
5,16484
6,18625
7,14456
8,20066
9,22888
10,27322
11,22395
12,23209
13,31139
14,28393
15,33061
16,34611
17,37810
18,34424
19,39665
20,40385
21,45306
22,49506
23,52064
24,47318
25,54599
26,50807
27,53537
28,62007
29,64908
30,57189
31,61844
32,64245
33,68048
34,67459
35,75484
36,71227
37,73718
38,77996
39,80600
40,87838
41,86703
42,92432
43,94423
44,95873
45,93362
46,100201
47,105145
48,104275
49,105996
50,110099
51,115180
52,108815
53,118816
54,116312
55,117335
56,122303
57,128545
58,126713
59,127331
60,132843
61,139699
62,144132
63,144063
64,145635
65,142911
66,149857
67,149385
68,158869
69,163577
70,158016
71,167779
72,169279
73,173682
74,175623
75,179666
76,183289
77,178668
78,190108
79,188797
80,191859
81,196441
82,201811
83,205074
84,206768
85,208026
86,208022
87,209254
88,220446
89,218278
90,224463
91,224337
92,228335
93,238677
94,237618
95,241368
96,245896
97,242981
98,251932
99,253071
100,259184
101,259609
102,266318
103,271982
104,270264
105,277965
106,276814
107,286986
108,284371
109,293464
110,298762
111,297766
112,304550
113,304030
114,304988
115,315135
116,312062
117,322300
118,328302
119,330048
120,331488
121,331116
122,339974
123,344767
124,350481
125,353785
126,352244
127,362648
128,359703
129,365700
130,374408
131,379865
132,380356
133,385409
134,385317
135,395324
136,398334
137,403082
138,402118
139,407952
140,413636
141,414369
142,424308
143,431904
144,429517
145,436665
146,444949
147,442283
148,447667
149,458065
150,458450
151,459173
152,471761
153,472182
154,478552
155,477056
156,487136
157,490854
158,499114
159,501836
160,507901
161,509285
162,513970
163,517603
164,521708
165,523413
166,529558
167,540384
168,538735
169,545414
170,550763
171,557142
172,558693
173,568375
174,568051
175,575331
176,584314
177,589070
178,588476
179,595606
180,597698
181,606847
182,608094
183,620554
184,623415
185,630142
186,634488
187,638439
188,643612
189,645417
190,654791
191,664235
192,665175
193,669921
194,673870
195,675952
196,685378
197,695548
198,696429
199,699837
200,711004
201,711441
202,721817
203,719787
204,732285
205,732680
206,742647
207,750790
208,756979
209,757592
210,761511
211,774696
212,771099
213,779001
214,789058
215,794296
216,803121
217,801376
218,813578
219,814021
220,818734
221,824753
222,837520
223,837766
224,842719
225,852509
226,859454
227,861175
228,869576
229,872712
230,885155
231,891230
232,895856
233,900924
234,905621
235,908012
236,920247
237,929005
238,935648
239,934759
240,944423
241,949858
242,954748
243,965148
244,971760
245,973920
246,987034
247,985845
248,991194
249,1001009
250,1009295
251,1015707
252,1025928
253,1024238
254,1034699
255,1045387
256,1046559
257,1057435
258,1058197
259,1067902
260,1069098
261,1077910
262,1085401
263,1094163
264,1100393
265,1105619
266,1110516
267,1124742
268,1128939
269,1137054
270,1141493
271,1153402
272,1155751
273,1161777
274,1174479
275,1177765
276,1179978
277,1190286
278,1197575
279,1204465
280,1216146
281,1222160
282,1224686
283,1229435
284,1242453
285,1244443
286,1253396
287,1265944
288,1270335
289,1275064
290,1279225
291,1291203
292,1300662
293,1310141
294,1313960
295,1323746
296,1332167
297,1338273
298,1342682
299,1353189
300,1361208
301,1367849
302,1377475
303,1377795
304,1384229
305,1394194
306,1399420
307,1408317
308,1417060
309,1421611
310,1429606
311,1439880
312,1445139
313,1457278
314,1469291
315,1467940
316,1476540
317,1486365
318,1497342
319,1500294
320,1510327
321,1518304
322,1531159
323,1532606
324,1544614
325,1553459
326,1555329
327,1568232
328,1572735
329,1581643
330,1590863
331,1602565
332,1607254
333,1613076
334,1622569
335,1635556
336,1636114
337,1645599
338,1653224
339,1668806
340,1676560
341,1684653
342,1692846
343,1699586
344,1708161
345,1713556
346,1719697
347,1733576
348,1737881
349,1753226
350,1759971
351,1767135
352,1772990
353,1786582
354,1791940
355,1798118
356,1811015
357,1821163
358,1826135
359,1839473
360,1845002
361,1854324
362,1865798
363,1871109
364,1874813
365,1886896
366,1895329
367,1900964
368,1910388
369,1924403
370,1933457
371,1943419
372,1954747
373,1958567
374,1966614
375,1974241
376,1983884
377,1995481
378,2001891
379,2007914
380,2022222
381,2031425
382,2040109
383,2045266
384,2062743
385,2069777
386,2076102
387,2088156
388,2097519
389,2107697
390,2115799
391,2122775
392,2128275
393,2138683
394,2156234
395,2160502
396,2173471
397,2175420
398,2189217
399,2203071
400,2211932
401,2220818
402,2227989
403,2234428
404,2242310
405,2258310
406,2262291
407,2279194
408,2281304
409,2290391
410,2299512
411,2316515
412,2323677
413,2328749
414,2341632
415,2355154
416,2360903
417,2371460
418,2386902
419,2387690
420,2404004
421,2415040
422,2419987
423,2431039
424,2438439
425,2450256
426,2464013
427,2469534
428,2486275
429,2492098
430,2499141
431,2513727
432,2519719
433,2533874
434,2547387
435,2555171
436,2567909
437,2572642
438,2584321
439,2595375
440,2601849
441,2616700
442,2626545
443,2632479
444,2650183
445,2659957
446,2670700
447,2676201
448,2684879
449,2701037
450,2708878
451,2722597
452,2730343
453,2735441
454,2746847
455,2762583
456,2768787
457,2786750
458,2791640
459,2803362
460,2811738
461,2825442
462,2835827
463,2849192
464,2857496
465,2866663
466,2874626
467,2892113
468,2899620
469,2910217
470,2922726
471,2931283
472,2947785
473,2951872
474,2969727
475,2978498
476,2992577
477,2994207
478,3013146
479,3024718
480,3030974
481,3041377
482,3050065
483,3068058
484,3077305
485,3092458
486,3094372
487,3112733
488,3124027
489,3128438
490,3146164
491,3159177
492,3167628
493,3175494
494,3187327
495,3198536
496,3208282
497,3222669
498,3231611
499,3246583
500,3258104
